CaseID,Batch,PackFile,Section,Domain,Title,Company,Stakeholder,Competency,Difficulty,DifficultyScore,Items,Exhibits,ProductionStatus,question_state,CreatedDate
CBQ23-E1,Batch1,case_pack_p2_3.js,E,Investment Decisions,Automation Investment Evaluation,Willow Textiles,CFO Anita Rao,Calculation,Moderate,3,6,2,Draft,Certified,2026-08-24
CBQ23-C2,Batch1,case_pack_p2_3.js,C,Decision Analysis,The Full-Capacity Order Negotiation,Hartwell Textiles,Controller Dana Walsh,Analysis,Difficult,4,6,2,Draft,Certified,2026-08-24
CBQ23-F2,Batch1,case_pack_p2_3.js,F,Professional Ethics,Misappropriation at the Branch,Harborline Distributors,Controller Elena Vasquez,Judgment,Difficult,4,6,2,Draft,Certified,2026-08-24
CBQ23-A1,Batch1,case_pack_p2_3.js,A,Financial Statement Analysis,Acquisition Diligence Ratio Workup,Halvorsen Tooling Corporation,"Priya Raman, Director of Due Diligence, Ridgeway Capital Partners",Calculation,Moderate,3,6,3,Draft,Certified,2026-08-25
CBQ23-B1,Batch1,case_pack_p2_3.js,B,Corporate Finance,Dividend Policy and Covenant Constraints,Bellhaven Components Inc.,"Elena Marsh, Chief Financial Officer",Judgment,Difficult,4,6,3,Draft,Certified,2026-08-25
CBQ23-D1,Batch1,case_pack_p2_3.js,D,Risk Management,ERM Risk Assessment Workshop,Juniper Medical Distribution,"Marcus Oyelaran, Chief Risk Officer",Analysis,Moderate,3,6,3,Draft,Certified,2026-08-25
CBQ23-A2,Batch1,case_pack_p2_3.js,A,Financial Statement Analysis,Earnings Quality and Accruals Gap Review,Bright Meadow Foods,"Priya Raman, Controller",Calculation,Moderate,3,6,3,Draft,Certified,2026-08-26
CBQ23-E2,Batch1,case_pack_p2_3.js,E,Investment Decisions,Mutually Exclusive Line Investment Decision,Redstone Medical Devices,"Marcus Whitfield, Chief Financial Officer",Calculation,Moderate,3,6,4,Draft,Certified,2026-08-26
CBQ23-F3,Batch1,case_pack_p2_3.js,F,Professional Ethics,FCPA Classification and Books-and-Records Duties,Meridian Solar Components,"Alicia Grant, Chief Compliance Officer",Judgment,Moderate,3,6,3,Draft,Certified,2026-08-26
CBQ23-C3,Batch1,case_pack_p2_3.js,C,Decision Analysis,Flash Industrial: Multi-Product CVP Optimization Under a Constrained Bottleneck,Flash Industrial,"Priya Ramaswamy, Senior Analyst",Calculation,Very Difficult,5,6,2,Draft,Certified,2026-08-30
CBQ23-D2,Batch1,case_pack_p2_3.js,D,Risk Management,Flash Capital: Operational Risk Appetite and KRI Design for a New Factoring Line,Flash Capital,"Maya Caldwell, Treasurer",Conceptual,Difficult,4,6,2,Draft,Certified,2026-08-30
CBQ23-E3,Batch1,case_pack_p2_3.js,E,Investment Decisions,"Flash Logistics: Fleet Replacement vs Lease Extension â€” NPV, IRR, and Real Options Under Capital Rationing",Flash Logistics,"Mariela Hoffmann, CFO",Calculation,Very Difficult,5,6,2,Draft,Certified,2026-08-30
CBQ23-A3,Batch2,case_pack_p2_3.js,A,Financial Statement Analysis,Foreign Exposure and Leverage Quality at Atlas Pacific,Atlas Pacific,Controller Mei Tanaka,Calculation,Difficult,4,6,3,Draft,Unprocessed,2026-09-03
CBQ23-C4,Batch2,case_pack_p2_3.js,C,Decision Analysis,"Pricing, Uncertainty, and Transfer Pricing at Veridian Consumer",Veridian Consumer,Director of FP&A Luis Ortega,Analysis,Difficult,4,6,3,Draft,Unprocessed,2026-09-03
CBQ23-F4,Batch2,case_pack_p2_3.js,F,Professional Ethics,The Override and the Restatement Risk at Beacon Manufacturing,Beacon Manufacturing,Internal Audit Director Priya Desai,Judgment,Very Difficult,5,6,2,Draft,Unprocessed,2026-09-03
CBQ23-A4,Batch1,case_pack_p2_3.js,A,Financial Statement Analysis,Synthetic Lease Recast at Horizon Telecom,Horizon Telecom,Controller Mei Tanaka,Analysis,Difficult,4,6,2,Draft,Unprocessed,2026-09-03
CBQ23-B2,Batch1,case_pack_p2_3.js,B,Corporate Finance,EOQ and Commercial Paper at BuildCore Construction,BuildCore Construction,Treasurer Alicia Gomez,Calculation,Moderate,3,6,2,Draft,Unprocessed,2026-09-03
CBQ23-C5,Batch1,case_pack_p2_3.js,C,Decision Analysis,Target Costing and Kaizen at FreshHarvest Foods,FreshHarvest Foods,Director Ops Lina Park,Analysis,Moderate,3,6,2,Draft,Unprocessed,2026-09-03
CBQ23-D3,Batch1,case_pack_p2_3.js,D,Risk Management,Vendor Concentration at Atlas Components,Atlas Components,Risk Manager Omar Haddad,Analysis,Moderate,3,6,2,Draft,Unprocessed,2026-09-03
CBQ23-E4,Batch1,case_pack_p2_3.js,E,Investment Decisions,Capital Rationing at Harborview Renewal,Harborview Renewal,Controller Sam Okonkwo,Calculation,Difficult,4,6,2,Draft,Unprocessed,2026-09-03
CBQ23-F5,Batch1,case_pack_p2_3.js,F,Professional Ethics,Override and Channel Stuffing at Beacon Retail,Beacon Retail,Audit Director Priya Desai,Judgment,Very Difficult,5,6,2,Draft,Unprocessed,2026-09-03
