CaseID,ItemID,Batch,Type,PromptSnippet,Correct,Difficulty,DifficultyScore,CognitiveLevel,CalculationRequired,Topic
CBQ21-B2,CBQ21-B2-Q6,Batch1,select,Which funding recommendation best balances the competing con,A,Difficult,4,Evaluate,False,Financing structure recommendation
CBQ21-E2,CBQ21-E2-Q1,Batch1,numeric,Enter the PRESENT VALUE of keeping the defender for its rema,667054,Difficult,4,Apply,True,Replacement analysis
CBQ21-E2,CBQ21-E2-Q2,Batch1,numeric,Enter the CHALLENGER's equivalent annual ANNUITY cost (a pos,231899,Difficult,4,Apply,True,Equivalent annual annuity
CBQ21-E2,CBQ21-E2-Q3,Batch1,numeric,Enter the DEFENDER's equivalent annual annuity cost (a posit,268233,Difficult,4,Analyze,True,Equivalent annual annuity
CBQ21-E2,CBQ21-E2-Q4,Batch1,select,Why is the equivalent annual annuity method required here ra,B,Moderate,3,Analyze,False,Unequal lives methodology
CBQ21-E2,CBQ21-E2-Q5,Batch1,select,Which development would MOST likely reverse the replace-now ,A,Moderate,3,Analyze,False,Decision sensitivity
CBQ21-E2,CBQ21-E2-Q6,Batch1,select,Which recommendation should Marcus Webb present?,C,Moderate,3,Evaluate,False,Replacement recommendation
CBQ21-A2,CBQ21-A2-Q1,Batch1,numeric,Using Exhibit 1; compute Harborline's FY2026 times-interest-,4.00,Moderate,3,Apply,True,Times interest earned
CBQ21-A2,CBQ21-A2-Q2,Batch1,numeric,Using Exhibits 1 and 2; compute Harborline's FY2026 return o,17.63,Moderate,3,Apply,True,DuPont ROE decomposition
CBQ21-A2,CBQ21-A2-Q3,Batch1,select,In assessing FY2026 earnings quality for the credit committe,B,Moderate,3,Analyze,False,Earnings quality
CBQ21-A2,CBQ21-A2-Q4,Batch1,select,Receivables grew 33.3 percent and inventory grew 22.4 percen,D,Difficult,4,Analyze,False,Working capital and earnings quality
CBQ21-A2,CBQ21-A2-Q5,Batch1,multi,Which three actions should CFO Elena Vasquez include in the ,Prepare a supplemental schedule presenting covenant EBITDA a,Difficult,4,Evaluate,False,Lender disclosure package
CBQ21-A2,CBQ21-A2-Q6,Batch1,match,Match each credit metric to its correct FY2026 value or read,{'Times interest earned (FY2026)': '4.00x'; 'Return on equit,Moderate,3,Evaluate,False,Ratio interpretation
CBQ21-C2,CBQ21-C2-Q1,Batch1,numeric,Using Exhibits 1 and 2; compute F-100's segment result as cu,58000,Difficult,4,Apply,True,Segment reporting
CBQ21-C2,CBQ21-C2-Q2,Batch1,numeric,If F-100 were dropped outright with no replacement use of th,152000,Difficult,4,Apply,True,Avoidable cost analysis
CBQ21-C2,CBQ21-C2-Q3,Batch1,select,Before considering any use of the freed machine hours; what ,C,Difficult,4,Analyze,False,Outsourcing relevant costs
CBQ21-C2,CBQ21-C2-Q4,Batch1,select,Which combined course of action should Dana Whitfield recomm,A,Difficult,4,Analyze,False,Combined decision evaluation
CBQ21-C2,CBQ21-C2-Q5,Batch1,multi,Which three considerations justify accepting the export orde,The order consumes machine hours freed by the outsourcing ar,Difficult,4,Evaluate,False,Special order relevance
CBQ21-C2,CBQ21-C2-Q6,Batch1,match,Match each decision element to its correct dollar effect for,{'F-100 segment result as currently reported': '$58;000 segm,Difficult,4,Evaluate,False,Decision quantification
CBQ21-F1,CBQ21-F1-Q1,Batch1,numeric,Per the classification analysis in Exhibit 2; and disregardi,230000,Moderate,3,Apply,True,Expense misclassification
CBQ21-F1,CBQ21-F1-Q2,Batch1,numeric,Using Bluepine's 25 percent effective tax rate from Exhibit ,172500,Moderate,3,Apply,True,After-tax misstatement
CBQ21-F1,CBQ21-F1-Q3,Batch1,select,Which principle within the IMA Statement of Ethical Professi,B,Moderate,3,Analyze,False,IMA credibility standard
CBQ21-F1,CBQ21-F1-Q4,Batch1,select,After completing his written analysis; what is Marcus's appr,C,Moderate,3,Analyze,False,Ethical conflict resolution
CBQ21-F1,CBQ21-F1-Q5,Batch1,multi,Which three responses represent appropriate professional con,Record the classification analysis; supporting invoices; and,Difficult,4,Evaluate,False,Ethical response actions
CBQ21-F1,CBQ21-F1-Q6,Batch1,match,Match each professional duty or protection to the framework ,{'Communicating complete information fairly and objectively ,Moderate,3,Evaluate,False,Governance frameworks
CBQ21-A3,CBQ21-A3-Q1,Batch1,numeric,Using Exhibit 2; compute Northwind Ceramics' FY2025 net prof,6.00,Moderate-Easy,2,Apply,True,Profitability ratios
CBQ21-A3,CBQ21-A3-Q2,Batch1,numeric,Using three-step DuPont decomposition with the year-end bala,15.63,Moderate,3,Apply,True,Return on equity
CBQ21-A3,CBQ21-A3-Q3,Batch1,select,At the strategy session; Elena must attribute the year-over-,C,Moderate,3,Analyze,False,Ratio trend interpretation
CBQ21-A3,CBQ21-A3-Q4,Batch1,select,The company's lender reviews Northwind's credit file annuall,B,Moderate,3,Analyze,True,Leverage ratios
CBQ21-A3,CBQ21-A3-Q5,Batch1,multi,Which three conclusions are supported by the DuPont analysis,Net profit margin fell from 7.50% to 6.00% and is the larges,Difficult,4,Evaluate,False,Financial statement analysis
CBQ21-A3,CBQ21-A3-Q6,Batch1,match,Prepare the board scorecard Elena will distribute: match eac,{'FY2025 net profit margin': '6.00%'; 'FY2025 total asset tu,Moderate,3,Evaluate,True,Ratio computation
CBQ21-B3,CBQ21-B3-Q1,Batch1,numeric,Using the present value factors in Exhibit 1; compute the is,9188870,Difficult,4,Apply,True,Bond valuation
CBQ21-B3,CBQ21-B3-Q2,Batch1,numeric,Under the effective interest method beginning from the issue,370257,Moderate,3,Apply,True,Debt amortization
CBQ21-B3,CBQ21-B3-Q3,Batch1,select,For the audit committee briefing; which characterization of ,A,Moderate,3,Analyze,False,Debt issuance
CBQ21-B3,CBQ21-B3-Q4,Batch1,select,Marcus needs an answer for First Meridian before signing. Ap,D,Moderate,3,Analyze,True,Credit analysis
CBQ21-B3,CBQ21-B3-Q5,Batch1,multi,Which three statements about the notes and the covenant posi,Effective interest expense increases each semiannual period ,Difficult,4,Evaluate,False,Long-term debt
CBQ21-B3,CBQ21-B3-Q6,Batch1,match,Complete the treasury memo Marcus will file with the loan pa,{'Issue price at date of sale': '$9;188;870'; 'Period 1 inte,Moderate,3,Evaluate,True,Amortization schedule
CBQ21-C3,CBQ21-C3-Q1,Batch1,numeric,Setting aside capacity effects and the one-time setup for th,54000,Moderate-Easy,2,Apply,True,Relevant costing
CBQ21-C3,CBQ21-C3-Q2,Batch1,numeric,Compute the opportunity cost of regular contribution displac,90000,Moderate,3,Analyze,True,Opportunity cost
CBQ21-C3,CBQ21-C3-Q3,Batch1,select,Weighing all relevant amounts from Exhibits 1 and 2; what sh,B,Difficult,4,Analyze,True,Special orders
CBQ21-C3,CBQ21-C3-Q4,Batch1,select,If Silverpine counter-offers instead of walking away; what m,C,Difficult,4,Analyze,True,Pricing decisions
CBQ21-C3,CBQ21-C3-Q5,Batch1,multi,Which three statements about the decision analysis are accur,The $12;000 finishing jig is a relevant cost because it is i,Difficult,4,Evaluate,False,Decision analysis
CBQ21-C3,CBQ21-C3-Q6,Batch1,match,Summarize the decision inputs for the leadership meeting: ma,{'Contribution margin per regular unit': '$90'; 'Idle capaci,Moderate,3,Evaluate,True,Contribution analysis
CBQ21-D2,CBQ21-D2-Q1,Batch1,mcq,Which statement best distinguishes risk capacity from risk a,A,Moderate,3,Apply,,Risk taxonomy
CBQ21-D2,CBQ21-D2-Q2,Batch1,mcq,Under COSO ERM 2017; which of the five components is the FOU,C,Moderate,3,Apply,,
CBQ21-D2,CBQ21-D2-Q3,Batch1,mcq,Decompose the recent 22% YoY incident increase across Flash ,A,Difficult,4,Analyze,,
CBQ21-D2,CBQ21-D2-Q4,Batch1,mcq,Given Flash Holdings' recent $340M Meridian Foods acquisitio,B,Difficult,4,Analyze,,
CBQ21-D2,CBQ21-D2-Q5,Batch1,mcq,Evaluate which entity-level role should SPONSOR the recommen,B,Difficult,4,Evaluate,,
CBQ21-D2,CBQ21-D2-Q6,Batch1,mcq,Six months into the Option 3 rollout; vendor/third-party inc,B,Very Difficult,5,Evaluate,,
CBQ21-F2,CBQ21-F2-Q1,Batch1,mcq,Under IMA's 'Resolve Ethical Conflicts' framework; what is t,B,Moderate,3,Apply,,
CBQ21-F2,CBQ21-F2-Q2,Batch1,mcq,Under ASC 606-10-25; when is revenue recognized for a freigh,B,Easy,2,Apply,,
CBQ21-F2,CBQ21-F2-Q3,Batch1,mcq,Analyze the magnitude of the proposed Q3 revenue misstatemen,B,Difficult,4,Analyze,,
CBQ21-F2,CBQ21-F2-Q4,Batch1,mcq,Which IMA principle is MOST directly violated by CFO Onuorah,C,Difficult,4,Analyze,,
CBQ21-F2,CBQ21-F2-Q5,Batch1,mcq,Evaluate the comparative merits of (i) signing under protest,C,Very Difficult,5,Evaluate,,
CBQ21-F2,CBQ21-F2-Q6,Batch1,mcq,Six months later; the CFO has been removed; the Q3 financial,B,Very Difficult,5,Evaluate,,
CBQ21-E3,CBQ21-E3-Q1,Batch1,numeric,Compute the NPV of Project Alpha at WACC = 9.0%. Initial out,14.8,Moderate,3,Apply,,NPV calculation
CBQ21-E3,CBQ21-E3-Q2,Batch1,numeric,Compute the NPV of Project Beta at WACC = 9.0%. Initial outl,12.3,Moderate,3,Apply,,
CBQ21-E3,CBQ21-E3-Q3,Batch1,numeric,Compute the NPV of Project Gamma at WACC = 9.0%. Initial out,15,Moderate,3,Apply,,
CBQ21-E3,CBQ21-E3-Q4,Batch1,mcq,Given the NPVs you computed for Alpha ($14.8M); Beta ($12.3M,C,Difficult,4,Analyze,,
CBQ21-E3,CBQ21-E3-Q5,Batch1,mcq,Compute each project's IRR: Alpha IRR approximately 18.4%; B,B,Difficult,4,Evaluate,,
CBQ21-E3,CBQ21-E3-Q6,Batch1,mcq,CFO Hoffmann recommends Gamma. The board pushes back; asking,B,Very Difficult,5,Evaluate,,
CBQ21-A4,CBQ21-A4-Q1,Batch1,mcq,Under ASC 805; Flash Foods paid $180M cash for the regional ,C,Moderate,3,Apply,,
CBQ21-A4,CBQ21-A4-Q2,Batch1,mcq,Using Exhibit 2; Adaeze Onuorah must determine whether the a,B,Moderate,3,Apply,,
CBQ21-A4,CBQ21-A4-Q3,Batch1,mcq,Three years after the acquisition; bakery-segment EBITDA has,C,Difficult,4,Analyze,,
CBQ21-A4,CBQ21-A4-Q4,Batch1,mcq,During consolidation; the bakery segment purchased $14M of f,B,Difficult,4,Analyze,,
CBQ21-A4,CBQ21-A4-Q5,Batch1,mcq,Mariela Hoffmann must choose between completing only the ASC,C,Difficult,4,Evaluate,,
CBQ21-A4,CBQ21-A4-Q6,Batch1,mcq,Mariela is considering how aggressively to expand segment di,B,Difficult,4,Evaluate,,
CBQ21-B4,CBQ21-B4-Q1,Batch1,mcq,Using Exhibit 1; compute Flash Industrial's post-acquisition,A,Moderate,3,Apply,,
CBQ21-B4,CBQ21-B4-Q2,Batch1,mcq,Under S&P-style notching rules (Exhibit 2); Flash Industrial,C,Moderate,3,Apply,,
CBQ21-B4,CBQ21-B4-Q3,Batch1,mcq,Maya Caldwell must articulate how pecking-order theory appli,A,Difficult,4,Analyze,,
CBQ21-B4,CBQ21-B4-Q4,Batch1,mcq,After the downgrade to A-; Flash Industrial's pre-tax cost o,B,Difficult,4,Analyze,,
CBQ21-B4,CBQ21-B4-Q5,Batch1,mcq,The CFO has asked Maya to compare the debt/equity financing ,C,Difficult,5,Evaluate,,
CBQ21-B4,CBQ21-B4-Q6,Batch1,mcq,After considering rating impact; tax shields; and dilution; ,B,Difficult,5,Evaluate,,
CBQ21-C4,CBQ21-C4-Q1,Batch1,mcq,Priya Ramaswamy has assembled the annual operating cost stre,B,Moderate,3,Apply,,
CBQ21-C4,CBQ21-C4-Q2,Batch1,mcq,Using Exhibit 2; compute the present-value differential betw,A,Moderate,3,Apply,,
CBQ21-C4,CBQ21-C4-Q3,Batch1,mcq,Beyond the quantitative model; Priya must consider qualitati,B,Difficult,4,Analyze,,
CBQ21-C4,CBQ21-C4-Q4,Batch1,mcq,Priya must compute the make-vs-buy breakeven on warehouse vo,A,Difficult,4,Analyze,,
CBQ21-C4,CBQ21-C4-Q5,Batch1,mcq,After considering the $27M in-house NPV advantage; the $10Mâ,C,Difficult,4,Evaluate,,
CBQ21-C4,CBQ21-C4-Q6,Batch1,mcq,If Flash Capital (the captive finance arm of Flash Holdings),B,Difficult,4,Evaluate,,
CBQ21-A5,CBQ21-A5-Q1,Batch2,numeric,Enter the quality-of-income ratio (operating cash flow divid,0.60,Moderate-Easy,2,Apply,True,Quality of income ratio
CBQ21-A5,CBQ21-A5-Q2,Batch2,numeric,Enter CORE earnings after removing both transitory items; ne,44.25,Moderate,3,Apply,True,Core earnings normalization
CBQ21-A5,CBQ21-A5-Q3,Batch2,numeric,Enter CURRENT-year days sales outstanding using AVERAGE rece,29.4,Moderate,3,Apply,True,Days sales outstanding
CBQ21-A5,CBQ21-A5-Q4,Batch2,numeric,Enter the sustainable growth rate based on CORE ROE and the ,14.08,Difficult,4,Apply,True,Sustainable growth rate
CBQ21-A5,CBQ21-A5-Q5,Batch2,select,Which composite assessment best explains Harborline's earnin,C,Difficult,4,Analyze,False,Composite earnings quality and SGR linkage
CBQ21-A5,CBQ21-A5-Q6,Batch2,match,Match each Harborline metric to its correct interpretation.,{'Quality of income 0.60': '60 cents of cash per earnings do,Moderate,3,Evaluate,False,Integrated financial analysis
CBQ21-C5,CBQ21-C5-Q1,Batch2,numeric,Enter Product Beta's contribution margin per bonding-line ho,12.00,Moderate,3,Apply,True,TOC product-mix ranking
CBQ21-C5,CBQ21-C5-Q2,Batch2,numeric,Enter the maximum monthly contribution (in dollars) from the,138000,Difficult,4,Apply,True,Optimal mix under single constraint
CBQ21-C5,CBQ21-C5-Q3,Batch2,select,The customer offers $52 per unit for 500 units of a Beta-var,B,Difficult,4,Analyze,True,Special-order relevant costing at capacity
CBQ21-C5,CBQ21-C5-Q4,Batch2,select,Should the 500 kg by-product lot be sold as-is for $3;000 or,A,Moderate,3,Analyze,True,Sell-or-process-further
CBQ21-C5,CBQ21-C5-Q5,Batch2,multi,Which two statements correctly state the minimum transfer-pr,With 12;000 kg of idle capacity the floor is $22 per kg (var,Moderate,3,Analyze,False,Transfer pricing floors
CBQ21-C5,CBQ21-C5-Q6,Batch2,match,Match each Cascadia decision to its governing principle.,{'Product-mix ranking': 'Rank by CM per hour of the binding ,Moderate,3,Evaluate,False,Integrated decision rules
CBQ21-F3,CBQ21-F3-Q1,Batch2,select,Which IMA ethical standards are most directly implicated by ,C,Moderate,3,Apply,False,IMA standards mapping
CBQ21-F3,CBQ21-F3-Q2,Batch2,select,Under the IMA resolution process; what is Elena's correct fi,B,Moderate,3,Apply,False,IMA resolution process
CBQ21-F3,CBQ21-F3-Q3,Batch2,select,How should the $800 vendor gift and the $900K shipment be cl,A,Difficult,4,Analyze,False,FCPA facilitation vs bribery and revenue recognition
CBQ21-F3,CBQ21-F3-Q4,Batch2,select,How far do Elena's confidentiality obligations extend if int,B,Difficult,4,Evaluate,False,Confidentiality boundaries
CBQ21-F3,CBQ21-F3-Q5,Batch2,multi,Which three controls would most directly address the vendor-,Dual authorization for vendor master changes plus system-enf,Difficult,4,Evaluate,False,Ethics control remediation
CBQ21-F3,CBQ21-F3-Q6,Batch2,match,Match each Northstar fact to its correct ethical treatment.,{'Accepting the $800 personal gift from a bidding vendor': ',Moderate,3,Evaluate,False,Integrated ethics treatment
CBQ21-A6,CBQ21-A6-Q1,Batch1,numeric,Enter Year2 net income restated to Year1 constant dollars; i,21.43,Moderate,3,Apply,True,Inflation restatement
CBQ21-A6,CBQ21-A6-Q2,Batch1,numeric,Enter the real growth rate of net income; in percent rounded,7.2,Moderate,3,Apply,True,Real growth
CBQ21-A6,CBQ21-A6-Q3,Batch1,select,Which line item is MOST distorted by inflation under FIFO? (,B,Difficult,4,Analyze,False,Inventory distortion
CBQ21-A6,CBQ21-A6-Q4,Batch1,select,What does current ratio 2.10 nominal vs 1.92 constant imply?,C,Moderate,3,Analyze,False,Covenant
CBQ21-A6,CBQ21-A6-Q5,Batch1,multi,Which two steps correctly restate Year2 to constant dollars?,Divide Year2 nominal by 1.045|Restate monetary at purchasing,Moderate,3,Analyze,False,Inflation restatement
CBQ21-A6,CBQ21-A6-Q6,Batch1,match,Match each concept to treatment,{'Constant-dollar': 'Divide by 1.045'; 'Monetary vs nonmonet,Moderate,3,Evaluate,False,Integration
CBQ21-C6,CBQ21-C6-Q1,Batch1,numeric,Enter the weighted-average CM per ton; in dollars.,64.00,Moderate,3,Apply,True,WACM
CBQ21-C6,CBQ21-C6-Q2,Batch1,numeric,Enter the breakeven tons per month; rounded to nearest ton.,7500,Moderate,3,Apply,True,Breakeven
CBQ21-C6,CBQ21-C6-Q3,Batch1,numeric,Enter the DOL at the 10k-ton budget; rounded to two decimals,4.00,Moderate,3,Apply,True,DOL
CBQ21-C6,CBQ21-C6-Q4,Batch1,select,What is the margin of safety at budget?,A,Moderate,3,Analyze,False,Margin of safety
CBQ21-C6,CBQ21-C6-Q5,Batch1,multi,Which two statements about WACM under this constraint are co,WACM 64 assumes mix holds; if nickel demand falls; WACM fall,Moderate,3,Analyze,False,Analysis
CBQ21-C6,CBQ21-C6-Q6,Batch1,match,Match each CVP concept to Greenstone,{'WACM 64': 'Blend 50/80/40/120 at mix'; 'BE 7;500': 'FC/WAC,Moderate,3,Evaluate,False,Integration
CBQ21-F4,CBQ21-F4-Q1,Batch1,select,Which IMA standard is MOST implicated by the carbon-neutral ,B,Difficult,4,Analyze,False,IMA credibility
CBQ21-F4,CBQ21-F4-Q2,Batch1,select,What is the correct description of the assurance gap?,C,Moderate,3,Apply,False,Assurance levels
CBQ21-F4,CBQ21-F4-Q3,Batch1,select,How should the $25M conditional gift be treated?,A,Difficult,4,Analyze,False,Gift contingency
CBQ21-F4,CBQ21-F4-Q4,Batch1,select,What is Amir's correct first step under IMA resolution when ,B,Moderate,3,Apply,False,IMA resolution
CBQ21-F4,CBQ21-F4-Q5,Batch1,multi,Which three controls address greenwash and pressure? (Select,Expand assurance to 100% or qualify headline to '40% assured,Moderate,3,Analyze,False,Controls
CBQ21-F4,CBQ21-F4-Q6,Batch1,match,Match each Pinnacle fact to treatment,{'Carbon-neutral 40% assured': 'Qualify to scope or expand t,Difficult,4,Evaluate,False,Integration
CBQ21-B5,CBQ21-B5-Q1,Batch1,numeric,Enter the residual dividend; in dollars.,3.00,Moderate,3,Apply,True,Residual dividend
CBQ21-B5,CBQ21-B5-Q2,Batch1,numeric,Enter the repurchase accretion in EPS; in dollars (EPS after,0.78,Moderate,3,Apply,True,Repurchase
CBQ21-B5,CBQ21-B5-Q3,Batch1,select,Which payout policy fits Orchard's growth?,B,Moderate,3,Analyze,False,Payout choice
CBQ21-B5,CBQ21-B5-Q4,Batch1,select,What is the signaling effect of a stable $2 dividend vs resi,A,Moderate,3,Analyze,False,Signaling
CBQ21-B5,CBQ21-B5-Q5,Batch1,multi,Which two factors support repurchase over dividend here? (Se,Undervalued stock â€” repurchase accretive|Shareholder tax d,Moderate,3,Analyze,False,Repurchase
CBQ21-B5,CBQ21-B5-Q6,Batch1,match,Match payout concept to Orchard,{'Residual $3.00': '14-8=6/2M â€” earnings minus investments,Moderate,3,Evaluate,False,Payout mapping
CBQ21-D3,CBQ21-D3-Q1,Batch1,numeric,Enter the RAROC for Auto line; in percent.,30.00,Moderate,3,Apply,True,RAROC
CBQ21-D3,CBQ21-D3-Q2,Batch1,numeric,Enter the RAROC for Health line; in percent.,20.00,Moderate,3,Apply,True,RAROC Health
CBQ21-D3,CBQ21-D3-Q3,Batch1,select,Which line should receive incremental capital?,C,Moderate,3,Analyze,False,Capital allocation
CBQ21-D3,CBQ21-D3-Q4,Batch1,select,What does RAROC 30% vs hurdle 15% imply?,A,Moderate,3,Analyze,False,Hurdle
CBQ21-D3,CBQ21-D3-Q5,Batch1,multi,Which two actions improve RAROC? (Select two),Reduce expected loss via underwriting controls â€” numerator,Moderate,3,Analyze,False,RAROC lever
CBQ21-D3,CBQ21-D3-Q6,Batch1,match,Match RAROC concept to Shield,{'Auto RAROC 30%': '(10-4)/20 â€” value; allocate'; 'Health ,Moderate,3,Evaluate,False,RAROC mapping
CBQ21-E4,CBQ21-E4-Q1,Batch1,numeric,Enter the coefficient of variation for NPV; rounded to two d,0.67,Moderate,3,Apply,True,CV
CBQ21-E4,CBQ21-E4-Q2,Batch1,numeric,Enter the z-score for NPV=0; rounded to two decimals.,-1.50,Moderate,3,Apply,True,Z-score
CBQ21-E4,CBQ21-E4-Q3,Batch1,select,What does Monte Carlo 84% P(NPV>0) vs point NPV $1.2M imply?,B,Difficult,4,Analyze,False,Monte vs point
CBQ21-E4,CBQ21-E4-Q4,Batch1,select,Which driver should sensitivity focus audit on?,A,Moderate,3,Analyze,False,Sensitivity
CBQ21-E4,CBQ21-E4-Q5,Batch1,multi,Which two actions manage risk given tornado? (Select two),Lock price via contract â€” addresses 60% driver|Hedge volum,Moderate,3,Analyze,False,Risk management
CBQ21-E4,CBQ21-E4-Q6,Batch1,match,Match Monte Carlo concept to Northwind,{'Mean $1.2M vs SD $0.8M': 'Point vs dispersion â€” CV 0.67',Moderate,3,Evaluate,False,Monte mapping
CBQ22-B1,CBQ22-B1-Q1,Batch1,numeric,Enter the cash conversion cycle in days.,100,Moderate-Easy,2,Apply,True,Cash conversion cycle
CBQ22-B1,CBQ22-B1-Q2,Batch1,numeric,Enter the effective ANNUAL cost of forgoing the 2/10 discoun,24.83,Difficult,4,Apply,True,Cost of trade credit
CBQ22-B1,CBQ22-B1-Q3,Batch1,numeric,Enter the net annual benefit of the lockbox proposal; in dol,35000,Moderate,3,Apply,True,Lockbox analysis
CBQ22-B1,CBQ22-B1-Q4,Batch1,select,Which statement about the financing sources is correct?,B,Moderate,3,Analyze,False,Financing source ranking
