QuestionID,CaseID,File,Domain,Topic,QuestionType,BloomLevel,Prompt
CBQ2-C3-Q5,CBQ2-C3,scored_cases2.js,Performance Management,Divisional performance comparison,select,Evaluate,Which division had the best performance based on residual income?
CBQ2-D1-Q1,CBQ2-D1,scored_cases2.js,Cost Management,ABC cost pool identification,multi,Evaluate,Which activities shown in Exhibit 1 would benefit most from having their own cost pools in an ABC system rather than bei
CBQ2-D1-Q2,CBQ2-D1,scored_cases2.js,Cost Management,Traditional costing limitations,multi,Evaluate,Which items represent valid criticisms of Apex's current single plantwide overhead rate approach?
CBQ2-D1-Q3,CBQ2-D1,scored_cases2.js,Cost Management,ABC cost driver selection,multi,Evaluate,"Assuming Apex adopts ABC, which cost drivers are most appropriate for the machining and setup cost pools?"
CBQ2-D1-Q4,CBQ2-D1,scored_cases2.js,Cost Management,ABC implementation challenges,multi,Evaluate,Which of the following are valid reasons why Apex might choose NOT to implement a full ABC system?
CBQ2-D1-Q5,CBQ2-D1,scored_cases2.js,Cost Management,Traditional cost allocation with plantwide rate,select,Apply,"If Apex uses a single plantwide rate based on direct labor hours, what is the overhead allocated to the Standard Board?"
CBQ2-D2-Q1,CBQ2-D2,scored_cases2.js,Cost Management,Joint cost allocation — NRV method,numeric,Apply,"Using the NRV method (net of byproduct), calculate the joint cost allocated to Alpha. Round to the nearest whole dollar."
CBQ2-D2-Q2,CBQ2-D2,scored_cases2.js,Cost Management,Joint cost allocation — physical-units method,numeric,Apply,"Using the physical-units method (net of byproduct), calculate the joint cost allocated to Beta. Round to the nearest who"
CBQ2-D2-Q3,CBQ2-D2,scored_cases2.js,Cost Management,Sell-or-process-further analysis,select,Analyze,Should Beta be processed further based on the sell-or-process-further rule?
CBQ2-D2-Q4,CBQ2-D2,scored_cases2.js,Cost Management,Joint cost concepts,multi,Evaluate,Select the correct statements about joint cost allocation.
CBQ2-D2-Q5,CBQ2-D2,scored_cases2.js,Cost Management,Joint costing terminology,fill,Understand,Costs incurred after the split-off point that can be traced to individual products are called ______ costs.
CBQ2-D2-Q6,CBQ2-D2,scored_cases2.js,Cost Management,Joint cost allocation methods,match,Analyze,Match each joint cost allocation method to its allocation basis.
CBQ2-D3-Q1,CBQ2-D3,scored_cases2.js,Cost Management,Weighted-average equivalent units,numeric,Apply,"Using the weighted-average method, compute the equivalent units for conversion costs."
CBQ2-D3-Q2,CBQ2-D3,scored_cases2.js,Cost Management,FIFO equivalent units,numeric,Apply,"Using the FIFO method, compute the equivalent units for conversion costs."
CBQ2-D3-Q3,CBQ2-D3,scored_cases2.js,Cost Management,Weighted-average cost per equivalent unit,numeric,Apply,"Using the weighted-average method, compute the total cost per equivalent unit for conversion costs. Round to the nearest"
CBQ2-D3-Q4,CBQ2-D3,scored_cases2.js,Cost Management,Cost allocation to completed units,numeric,Apply,"Using the weighted-average method, compute the cost of units completed and transferred out (conversion only). Round to t"
CBQ2-D3-Q5,CBQ2-D3,scored_cases2.js,Cost Management,Method comparison — weighted-average vs FIFO,select,Analyze,"Under the weighted-average method, why is the conversion cost per EU different from what it would be under FIFO?"
CBQ2-E1-Q1,CBQ2-E1,scored_cases2.js,Internal Controls,IT general control categories,match,Analyze,Match each IT general control category to the primary risk it addresses.
CBQ2-E1-Q2,CBQ2-E1,scored_cases2.js,Internal Controls,IT control remediation,match,Evaluate,Match each control deficiency identified in Exhibit 1 to the most appropriate remediation.
CBQ2-E1-Q3,CBQ2-E1,scored_cases2.js,Internal Controls,IT control types,match,Analyze,Match each IT control type to the correct description of its purpose.
CBQ2-E1-Q4,CBQ2-E1,scored_cases2.js,Internal Controls,Application controls vs IT general controls,match,Analyze,Match each application control type to its correct example.
CBQ2-E1-Q5,CBQ2-E1,scored_cases2.js,Internal Controls,IT segregation of duties,match,Evaluate,Match each IT role to the correct segregation-of-duties conflict if the role is combined with others.
CBQ2-E2-Q1,CBQ2-E2,scored_cases2.js,Internal Controls,Segregation of duties — fraud risk identification,multi,Evaluate,An internal auditor is reviewing the segregation of duties in Atlas Distribution's purchasing and cash disbursements pro
CBQ2-E2-Q2,CBQ2-E2,scored_cases2.js,Internal Controls,Preventive vs detective controls,multi,Analyze,Atlas Distribution's audit team is designing preventive controls to address the weaknesses identified in Exhibit 1. Sele
CBQ2-E2-Q3,CBQ2-E2,scored_cases2.js,Internal Controls,COSO internal control framework components,multi,Analyze,"According to the COSO Internal Control — Integrated Framework, which of the following are COMPONENTS of internal control"
CBQ2-E2-Q4,CBQ2-E2,scored_cases2.js,Internal Controls,Fraud risk indicators in procurement,multi,Evaluate,The internal audit team at Atlas Distribution is assessing fraud risk in the procurement process. Select the RED FLAGS t
CBQ2-E2-Q5,CBQ2-E2,scored_cases2.js,Internal Controls,Control activity design and implementation,multi,Evaluate,The audit team recommends implementing several new control activities. Select the activities that BEST address the weakn
CBQ2-F1-Q1,CBQ2-F1,scored_cases2.js,Technology and Analytics,Analytics maturity levels,select,Analyze,"Based on the scenario, which level of analytics maturity best describes Meridian Retail Group's current state?"
CBQ2-F1-Q2,CBQ2-F1,scored_cases2.js,Technology and Analytics,Diagnostic analytics,select,Analyze,"The CDO proposes implementing a dashboard that shows real-time sales by region, inventory turnover, and customer foot tr"
CBQ2-F1-Q3,CBQ2-F1,scored_cases2.js,Technology and Analytics,Predictive analytics,select,Analyze,"For the next phase of the analytics roadmap, the CDO wants to use historical sales data and external economic indicators"
CBQ2-F1-Q4,CBQ2-F1,scored_cases2.js,Technology and Analytics,Prescriptive analytics,select,Evaluate,The supply chain team wants a tool that recommends optimal inventory reorder quantities and identifies the most cost-eff
CBQ2-F1-Q5,CBQ2-F1,scored_cases2.js,Technology and Analytics,Data governance and analytics readiness,select,Evaluate,"Before Meridian can advance its analytics maturity, it must address several data challenges. Which of the following is t"
CBQ2-F2-Q1,CBQ2-F2,scored_cases2.js,Technology and Analytics,Master data management,fill,Analyze,"Enter the term for the data management practice that ensures consistent, accurate, and uniform data across the enterpris"
CBQ2-F2-Q2,CBQ2-F2,scored_cases2.js,Technology and Analytics,Data quality dimensions,fill,Analyze,"Enter the data quality dimension that is violated when different departments use different definitions for ""active membe"
CBQ2-F2-Q3,CBQ2-F2,scored_cases2.js,Technology and Analytics,Metadata management,fill,Understand,"Enter the term for the data that describes the structure, context, and meaning of other data — for example, the definiti"
CBQ2-F2-Q4,CBQ2-F2,scored_cases2.js,Technology and Analytics,Data privacy and regulatory compliance,fill,Understand,"Enter the regulatory framework acronym that requires HealthPlus to protect member health information, including implemen"
CBQ2-F2-Q5,CBQ2-F2,scored_cases2.js,Technology and Analytics,Data lifecycle management,fill,Analyze,Enter the term for the data lifecycle stage in which HealthPlus should implement a formal data retention schedule that s
CBQ3-A1-Q3,CBQ3-A1,scored_cases3.js,External Financial Reporting Decisions,Lease Accounting,fill,Understand,"Under ASC 842, the lessee records a lease liability and a ______________ asset on the balance sheet."
CBQ3-A1-Q1,CBQ3-A1,scored_cases3.js,External Financial Reporting Decisions,Leases,numeric,Apply,Calculate the present value of the lease payments (round to nearest dollar).
CBQ3-A1-Q4,CBQ3-A1,scored_cases3.js,External Financial Reporting Decisions,Lease Amortization,numeric,Apply,What is the lease liability balance at the end of Year 1 after the first payment? (Use the PV calculated previously).
CBQ3-A1-Q2,CBQ3-A1,scored_cases3.js,External Financial Reporting Decisions,Lease Classification,select,Analyze,"Based on ASC 842, how should Meridian classify this lease?"
CBQ3-A1-Q5,CBQ3-A1,scored_cases3.js,External Financial Reporting Decisions,Lease Criteria,multi,Evaluate,Which of the following are criteria for a finance lease?
CBQ3-A2-Q1,CBQ3-A2,scored_cases3.js,External Financial Reporting Decisions,Cash Flows,numeric,Apply,Calculate the Net Cash Provided by Operating Activities.
CBQ3-A2-Q2,CBQ3-A2,scored_cases3.js,External Financial Reporting Decisions,Cash Flows,numeric,Apply,Calculate the Net Cash Provided by (Used in) Investing Activities.
CBQ3-A2-Q3,CBQ3-A2,scored_cases3.js,External Financial Reporting Decisions,Cash Flows,numeric,Apply,Calculate the Net Cash Provided by Financing Activities.
CBQ3-A2-Q4,CBQ3-A2,scored_cases3.js,External Financial Reporting Decisions,Cash Flows,select,Analyze,Where is the payment of dividends reported under US GAAP?
CBQ3-A2-Q5,CBQ3-A2,scored_cases3.js,External Financial Reporting Decisions,Cash Flows,match,Analyze,Match the cash flow activity to its classification.
CBQ3-B1-Q1,CBQ3-B1,scored_cases3.js,"Planning, Budgeting, and Forecasting",Cash Budgeting,numeric,Apply,Calculate the total cash collected in April.
CBQ3-B1-Q2,CBQ3-B1,scored_cases3.js,"Planning, Budgeting, and Forecasting",Cash Budgeting,numeric,Apply,Calculate the Accounts Receivable balance at the end of April (arising from March and April sales only).
CBQ3-B1-Q3,CBQ3-B1,scored_cases3.js,"Planning, Budgeting, and Forecasting",Master Budget,multi,Evaluate,Which of the following budgets must be completed before the Cash Budget?
CBQ3-B1-Q4,CBQ3-B1,scored_cases3.js,"Planning, Budgeting, and Forecasting",Working Capital Management,select,Evaluate,"If the company tightens credit terms to 2/10, net 30, what is the most likely immediate impact?"
CBQ3-B1-Q5,CBQ3-B1,scored_cases3.js,"Planning, Budgeting, and Forecasting",Budget Types,fill,Understand,A budget that is continuously updated by adding a new month/quarter as the current one drops is called a __________ budg
CBQ3-B2-Q1,CBQ3-B2,scored_cases3.js,"Planning, Budgeting, and Forecasting",Direct labor budget,numeric,Apply,Enter the budgeted direct labor cost for July.
CBQ3-B2-Q2,CBQ3-B2,scored_cases3.js,"Planning, Budgeting, and Forecasting",Manufacturing overhead budget,numeric,Apply,Enter the total budgeted manufacturing overhead cost for July (variable + fixed).
CBQ3-B2-Q3,CBQ3-B2,scored_cases3.js,"Planning, Budgeting, and Forecasting",Overhead application rate,numeric,Apply,Enter the predetermined total overhead rate per direct labor hour using denominator activity.
CBQ3-B2-Q4,CBQ3-B2,scored_cases3.js,"Planning, Budgeting, and Forecasting",Overhead cost behavior,select,Analyze,What effect would adding a second shift in September have on budgeted fixed overhead cost?
CBQ3-B2-Q5,CBQ3-B2,scored_cases3.js,"Planning, Budgeting, and Forecasting",Overhead application,multi,Evaluate,Select the true statements about manufacturing overhead budgeting.
CBQ3-B2-Q6,CBQ3-B2,scored_cases3.js,"Planning, Budgeting, and Forecasting",Budget formulas,match,Analyze,Match each budget component to its correct calculation formula.
CBQ3-B3-Q1,CBQ3-B3,scored_cases3.js,"Planning, Budgeting, and Forecasting",Contribution margin,numeric,Apply,Enter the contribution margin per unit.
CBQ3-B3-Q2,CBQ3-B3,scored_cases3.js,"Planning, Budgeting, and Forecasting",Break-even analysis,numeric,Apply,Enter the break-even point in units under the current cost structure.
CBQ3-B3-Q3,CBQ3-B3,scored_cases3.js,"Planning, Budgeting, and Forecasting",Margin of safety,numeric,Apply,Enter the margin of safety in units at the budgeted sales volume under the current structure.
CBQ3-B3-Q4,CBQ3-B3,scored_cases3.js,"Planning, Budgeting, and Forecasting",Target profit analysis,select,Analyze,"Based on the capacity constraint, can Coastal achieve the $300,000 target operating income under the expansion?"
CBQ3-B3-Q5,CBQ3-B3,scored_cases3.js,"Planning, Budgeting, and Forecasting",CVP assumptions,multi,Evaluate,Which assumptions must hold for the CVP analysis to be valid?
CBQ3-B3-Q6,CBQ3-B3,scored_cases3.js,"Planning, Budgeting, and Forecasting",CVP formulas,match,Analyze,Match each CVP concept to its correct formula.
CBQ3-C1-Q1,CBQ3-C1,scored_cases3.js,Performance Management,Balanced scorecard — financial perspective,match,Analyze,Nexus Manufacturing's strategy team has identified the following financial performance objectives. Match each objective 
CBQ3-C1-Q2,CBQ3-C1,scored_cases3.js,Performance Management,Balanced scorecard — customer perspective,match,Analyze,The Customer perspective of the balanced scorecard focuses on how the company creates value for its target customers. Ma
CBQ3-C1-Q3,CBQ3-C1,scored_cases3.js,Performance Management,Balanced scorecard — internal business process perspective,match,Analyze,The Internal Business Process perspective identifies the critical processes where the company must excel. Match each pro
CBQ3-C1-Q4,CBQ3-C1,scored_cases3.js,Performance Management,Balanced scorecard — learning and growth perspective,match,Analyze,The Learning and Growth perspective focuses on the intangible assets needed to support the other perspectives. Match eac
CBQ3-C1-Q5,CBQ3-C1,scored_cases3.js,Performance Management,Leading vs lagging indicators in balanced scorecard,match,Analyze,The balanced scorecard distinguishes between leading and lagging indicators. Match each KPI to its correct classificatio
CBQ3-C2-Q2,CBQ3-C2,scored_cases3.js,Performance Management,Goal congruence failure — external sourcing cost impact,select,Analyze,"Using Exhibit 1 and Exhibit 2, if Division A sells all 150,000 chips externally at $50 and Division B must purchase chip"
CBQ3-C2-Q3,CBQ3-C2,scored_cases3.js,Performance Management,Transfer pricing policy design factors,multi,Analyze,The corporate controller is evaluating transfer pricing alternatives. Which of the following factors should be considere
CBQ3-C2-Q1,CBQ3-C2,scored_cases3.js,Performance Management,Transfer pricing method selection — market-based,select,Evaluate,Apex Components currently evaluates division managers based on divisional operating income. Division A has sufficient ca
CBQ3-C2-Q4,CBQ3-C2,scored_cases3.js,Performance Management,Transfer pricing method selection — scenario matching,match,Evaluate,Apex Components faces four distinct business scenarios. Match each scenario to the most appropriate transfer pricing met
CBQ3-C2-Q5,CBQ3-C2,scored_cases3.js,Performance Management,Goal congruence and divisional performance evaluation,select,Evaluate,Division B's manager argues that using market-based transfer pricing at $50 unfairly penalizes Division B because the ch
CBQ3-C3-Q1,CBQ3-C3,scored_cases3.js,Performance Management,Sales volume variance for operating income,select,Apply,"The production manager notes that actual revenue exceeded the static budget by $126,000 and believes performance was str"
CBQ3-C3-Q2,CBQ3-C3,scored_cases3.js,Performance Management,Flexible budget variance computation — direct materials,select,Apply,"Using Exhibit 1 and Exhibit 2, compute the flexible budget variance for direct materials. Compare actual direct material"
CBQ3-C3-Q3,CBQ3-C3,scored_cases3.js,Performance Management,Interpreting flexible budget variances,multi,Analyze,The controller identified several variances. Which of the following statements correctly interpret the variance results 
CBQ3-C3-Q4,CBQ3-C3,scored_cases3.js,Performance Management,Variance analysis formulas and classification,match,Analyze,Match each variance description to the correct variance formula for Precision Manufacturing's standard costing system.
CBQ3-C3-Q5,CBQ3-C3,scored_cases3.js,Performance Management,Performance evaluation using flexible budgets,select,Evaluate,The production manager is evaluated based on the flexible budget variance for manufacturing costs. Which statement BEST 
CBQ3-D1-Q1,CBQ3-D1,scored_cases3.js,Cost Management,Absorption costing unit cost,numeric,Apply,Calculate the absorption costing unit product cost.
CBQ3-D1-Q2,CBQ3-D1,scored_cases3.js,Cost Management,Variable costing unit cost,numeric,Apply,Calculate the variable costing unit product cost.
CBQ3-D1-Q3,CBQ3-D1,scored_cases3.js,Cost Management,Income reconciliation,select,Analyze,"Which costing method reports higher operating income, and by what amount?"
CBQ3-D1-Q4,CBQ3-D1,scored_cases3.js,Cost Management,Costing method comparison,multi,Evaluate,Select the correct statements about absorption vs variable costing.
CBQ3-D1-Q5,CBQ3-D1,scored_cases3.js,Cost Management,Variable costing classification,fill,Understand,"Under variable costing, fixed manufacturing overhead is classified as a ______ cost."
CBQ3-D1-Q6,CBQ3-D1,scored_cases3.js,Cost Management,Cost classification,match,Analyze,Match each cost item to its classification under variable costing.
CBQ3-D2-Q1,CBQ3-D2,scored_cases3.js,Cost Management,Predetermined overhead rate,numeric,Apply,Calculate the predetermined overhead rate per direct labor hour.
CBQ3-D2-Q2,CBQ3-D2,scored_cases3.js,Cost Management,Job cost sheet,numeric,Apply,Calculate the total cost of Job 101.
CBQ3-D2-Q3,CBQ3-D2,scored_cases3.js,Cost Management,Overhead variance,select,Analyze,"Was manufacturing overhead overapplied or underapplied for March, and by what amount?"
CBQ3-D2-Q4,CBQ3-D2,scored_cases3.js,Cost Management,Overhead disposition,multi,Evaluate,Select the correct statements about disposing of over/underapplied overhead.
CBQ3-D2-Q5,CBQ3-D2,scored_cases3.js,Cost Management,Costing system types,fill,Understand,The system that accumulates costs by individual customer orders is called ______ costing.
CBQ3-D2-Q6,CBQ3-D2,scored_cases3.js,Cost Management,Job-order costing terminology,match,Analyze,Match each term to its correct description.
CBQ3-D3-Q1,CBQ3-D3,scored_cases3.js,Cost Management,Service department cost allocation methods,multi,Evaluate,The cost accounting team is evaluating which service department cost allocation method to use. Select the statements tha
CBQ3-D3-Q2,CBQ3-D3,scored_cases3.js,Cost Management,Allocation base selection,multi,Analyze,"When selecting allocation bases for service department costs, which of the following are APPROPRIATE allocation bases fo"
CBQ3-D3-Q3,CBQ3-D3,scored_cases3.js,Cost Management,Step-down allocation method — sequence and mechanics,multi,Evaluate,If Midwest Precision uses the step-down method starting with IT Support (because IT provides services to more department
CBQ3-D3-Q4,CBQ3-D3,scored_cases3.js,Cost Management,Dual-rate versus single-rate cost allocation,multi,Analyze,The cost accounting team wants to implement the dual-rate method for allocating IT Support costs. Select the statements 
CBQ3-D3-Q5,CBQ3-D3,scored_cases3.js,Cost Management,Purpose and justification of cost allocations,multi,Evaluate,Midwest Precision's production manager in Assembly argues that service department allocations are arbitrary and distort 
CBQ3-E1-Q1,CBQ3-E1,scored_cases3.js,Internal Controls,COSO ERM 2017 — five components,match,Analyze,The Chief Risk Officer is training department heads on the five COSO ERM 2017 components. Match each risk management act
CBQ3-E1-Q2,CBQ3-E1,scored_cases3.js,Internal Controls,COSO ERM 2017 — applying components to implementation,match,Analyze,Match each ERM implementation activity at MedTech Devices to the correct COSO ERM component where the activity belongs.
CBQ3-E1-Q3,CBQ3-E1,scored_cases3.js,Internal Controls,Risk response strategies — ERM Performance component,match,Evaluate,MedTech Devices has identified the following risks during the Performance component assessment. Match each risk to the m
CBQ3-E1-Q4,CBQ3-E1,scored_cases3.js,Internal Controls,COSO ERM — Review and Revision component,match,Evaluate,The Review and Revision component requires MedTech Devices to assess changes that could affect ERM effectiveness. Match 
CBQ3-E1-Q5,CBQ3-E1,scored_cases3.js,Internal Controls,COSO ERM — benefits by component,match,Analyze,Match each ERM benefit described by MedTech's CRO to the correct COSO ERM component that primarily delivers that benefit
CBQ3-E2-Q2,CBQ3-E2,scored_cases3.js,Internal Controls,BC/DR governance and testing requirements,select,Analyze,FFCU's internal audit team identifies that the current disaster recovery plan has not been tested in 18 months and that 
CBQ3-E2-Q3,CBQ3-E2,scored_cases3.js,Internal Controls,Essential BCP components,multi,Analyze,"The BC/DR planning committee is developing the recovery strategy. According to COSO and IT governance frameworks, which "
CBQ3-E2-Q1,CBQ3-E2,scored_cases3.js,Internal Controls,Disaster recovery site selection,select,Evaluate,"Based on Exhibit 1, FFCU's online banking platform and member call center system both require a Recovery Time Objective "
CBQ3-E2-Q4,CBQ3-E2,scored_cases3.js,Internal Controls,Matching recovery strategies to business requirements,match,Evaluate,FFCU has identified four business functions that require different recovery strategies. Match each function to the most 
CBQ3-E2-Q5,CBQ3-E2,scored_cases3.js,Internal Controls,"BC/DR governance, fiduciary duty, and regulatory compliance",select,Evaluate,FFCU's CFO asks whether BC/DR costs can be justified as a necessary business expense rather than discretionary spending.
CBQ3-F1-Q1,CBQ3-F1,scored_cases3.js,Technology and Analytics,SDLC phases — Analysis,fill,Understand,Enter the single word that describes the SDLC phase where the project team defines functional requirements by gathering 
CBQ3-F1-Q2,CBQ3-F1,scored_cases3.js,Technology and Analytics,SDLC — testing phases,fill,Understand,Enter the two-word term for the testing phase where loan officers and credit analysts validate that the new system meets
CBQ3-F1-Q3,CBQ3-F1,scored_cases3.js,Technology and Analytics,SDLC methodologies — Agile vs Waterfall,fill,Understand,"Enter the SDLC methodology name that uses iterative cycles (typically 2–4 weeks) with continuous stakeholder feedback, a"
CBQ3-F1-Q4,CBQ3-F1,scored_cases3.js,Technology and Analytics,Change management in SDLC,fill,Analyze,Enter the two-word term for the SDLC concept that describes moving code or system changes from the development or testin
CBQ3-F1-Q5,CBQ3-F1,scored_cases3.js,Technology and Analytics,Environment segregation in SDLC,fill,Analyze,Enter the two-word term for the environment that should be strictly separated from the development and testing environme
CBQ3-F2-Q1,CBQ3-F2,scored_cases3.js,Technology and Analytics,Chart type selection based on data relationships,match,Analyze,"Based on Exhibit 1, each of the following retail metrics requires a specific chart type to communicate effectively. Matc"
CBQ3-F2-Q2,CBQ3-F2,scored_cases3.js,Technology and Analytics,Avoiding misleading visualizations — 3D chart distortion,select,Analyze,The client's current dashboard uses a 3D pie chart to show inventory turnover by product category. The chart has 8 categ
CBQ3-F2-Q4,CBQ3-F2,scored_cases3.js,Technology and Analytics,Cognitive perception and pre-attentive processing in data visualization,select,Analyze,The client's CFO asks Insight Analytics to explain why the proposed dashboard replaces a data table showing 30 stores' s
CBQ3-F2-Q3,CBQ3-F2,scored_cases3.js,Technology and Analytics,Dashboard design principles and best practices,multi,Evaluate,Insight Analytics proposes a redesigned dashboard following the principles in Exhibit 2. Which of the following dashboar
