P1-A-002 | Pack A | Sec A | A.002 income statement discontinued operation pres | Riverview will sell a component that represents a strategic shift and has met held-for-sale criteria. Which response is most appropriate?
P1B-E-094 | Pack B | Sec E | B-E.094 internal audit function | Blue Ridge Partners is deciding how to coordinate the work of internal and external auditors. Which of the following statements best describes the dif
P1B-E-097 | Pack B | Sec E | B-E.097 fraud prevention | Apex Global discovered that an employee has been submitting false expense reports for reimbursement of personal travel expenses. Under common fraud cl
P1B-E-101 | Pack B | Sec E | B-E.101 data protection controls | Pinnacle Technologies stores sensitive customer data in its accounting systems. Management wants to ensure that data is protected from unauthorized ac
P1B-E-106 | Pack B | Sec E | B-E.106 application controls | Orion Enterprises uses an accounts payable system that requires entry of a valid vendor number before an invoice can be processed, checks that invoice
P1B-E-109 | Pack B | Sec E | B-E.109 business continuity planning | Summit Corporation is developing a plan to ensure that critical business functions can continue operating during and after a major disruption such as 
P1B-E-110 | Pack B | Sec E | B-E.110 business continuity planning | Phoenix Data Services is developing its business continuity plan. Management has determined that the accounting system must be restored within four ho
P1B-E-111 | Pack B | Sec E | B-E.111 disaster recovery | Cascade Healthcare is evaluating disaster recovery site options for its critical accounting systems. Management needs a solution where the recovery si
P1B-E-118 | Pack B | Sec E | B-E.118 control activities | Blue Ridge Industries compares actual financial results to budgeted amounts on a monthly basis and investigates significant variances. This control ac
P1B-E-120 | Pack B | Sec E | B-E.120 fraud prevention | Meridian Corp is conducting a fraud risk assessment as part of its internal control evaluation. Which of the following is the most important factor to
P1B-E-121 | Pack B | Sec E | B-E.121 internal audit function | Cascade Enterprises is establishing an internal audit function. Which document should define the internal audit department's purpose, authority, and r
P1B-E-126 | Pack B | Sec E | B-E.126 IT general controls | Atlas Data Center has implemented controls to ensure that scheduled batch jobs run on time, errors are logged and reviewed, and backup procedures are 
P1B-E-131 | Pack B | Sec E | B-E.131 control environment | Apex Enterprises' CEO regularly bypasses procurement controls to approve purchases from a company owned by a family member. Despite having a written c
P1B-E-135 | Pack B | Sec E | B-E.135 COSO ERM | Harbor Logistics has identified that its fleet vehicles are exposed to risk of accident and theft. Management decides to purchase comprehensive insura
P1B-E-138 | Pack B | Sec E | B-E.138 data protection controls | Nexus Corp has implemented a data classification policy that labels information as public, internal, confidential, or restricted. This classification 
P1B-E-142 | Pack B | Sec E | B-E.142 whistleblower programs | Silverline Corp has established an anonymous whistleblower hotline for reporting accounting and auditing concerns. Which of the following is a key ben
P1B-E-143 | Pack B | Sec E | B-E.143 ICFR | During its SOX 404 assessment, management at Apex Financial identified a control deficiency that does not rise to the level of a material weakness but
P1B-E-148 | Pack B | Sec E | B-E.148 control activities | Nexus Manufacturing uses sequentially pre-numbered purchase orders, sales invoices, and receiving reports. This control activity is designed to:
P1B-F-076 | Pack B | Sec F | B-F.076 data governance | Nexus Corp is implementing a data governance program to ensure that data is managed as a strategic asset. Which of the following is a primary objectiv
P1B-F-077 | Pack B | Sec F | B-F.077 data governance | Titan Industries has appointed a senior manager from the finance department to be responsible for defining and enforcing data policies related to fina
P1B-F-078 | Pack B | Sec F | B-F.078 master data management | Apex Systems maintains a central repository of core business data including customer names and addresses, vendor information, product descriptions, an
P1B-F-085 | Pack B | Sec F | B-F.085 data mining | Orion Retail uses software to analyze customer purchase data and automatically identify groups of products that are frequently purchased together, suc
P1B-F-086 | Pack B | Sec F | B-F.086 AI and machine learning | Quantum Enterprises is implementing an AI system that can examine large volumes of supplier invoices, identify patterns indicative of potential fraud,
P1B-F-087 | Pack B | Sec F | B-F.087 AI and machine learning | Redwood Corp wants to build a model that predicts whether a transaction is fraudulent. The company has a historical dataset where each transaction is 
P1B-F-088 | Pack B | Sec F | B-F.088 RPA | Cascade Financials has implemented software robots that log into their accounts payable system, extract invoice data from emails, enter the data into 
P1B-F-090 | Pack B | Sec F | B-F.090 blockchain | A blockchain-based triple-entry accounting system could transform auditing by:
P1B-F-091 | Pack B | Sec F | B-F.091 cloud computing | Blue Ridge Partners is moving its accounting systems to a software-as-a-service (SaaS) cloud platform. Which of the following is a key risk that manag
P1B-F-092 | Pack B | Sec F | B-F.092 cloud computing | Silverline Corp's IT department manages its own servers and network infrastructure but uses cloud-based platforms to develop and deploy custom account
P1B-F-093 | Pack B | Sec F | B-F.093 cybersecurity | Summit Technologies experienced a ransomware attack that encrypted critical financial data, making it inaccessible for several days. Which element of 
P1B-F-094 | Pack B | Sec F | B-F.094 cybersecurity | Citadel Financial is implementing a defense-in-depth cybersecurity strategy. Which approach best describes this concept?
P1B-F-095 | Pack B | Sec F | B-F.095 information systems lifecycle | Phoenix Corp is developing a new general ledger system. The project team is gathering requirements from stakeholders, defining system specifications, 
P1B-F-096 | Pack B | Sec F | B-F.096 ERP systems | Nexus Manufacturing is implementing an ERP system to replace its disconnected legacy applications for accounting, inventory, purchasing, and HR. A key
P1B-F-098 | Pack B | Sec F | B-F.098 database management | Apex Corp uses a relational database for its accounting system. The database contains tables for customers, invoices, and payments. The relationship b
P1B-F-100 | Pack B | Sec F | B-F.100 privacy regulations | Vanguard Corp collects personal information from California residents for its marketing activities. Under the California Consumer Privacy Act (CCPA), 
P1B-F-103 | Pack B | Sec F | B-F.103 cybersecurity | An employee at Summit Corp received an email that appeared to be from the CEO requesting an urgent wire transfer to a new vendor. The email address wa
P1B-F-104 | Pack B | Sec F | B-F.104 data governance | Cascade Corp is establishing a formal data governance program. Which of the following statements correctly distinguishes data governance from data man
P1B-F-105 | Pack B | Sec F | B-F.105 data quality | During a data quality assessment, Redwood Corp discovered that customer addresses in its billing system do not follow a standard format, some records 
P1B-F-106 | Pack B | Sec F | B-F.106 data visualization | The CFO at Quantum Corp wants a dashboard that allows her to quickly identify which divisions are performing above or below budget. Which type of visu
P1B-F-107 | Pack B | Sec F | B-F.107 AI and machine learning | Emerald Corp uses an AI system that can read and interpret the text in supplier contracts to identify key terms such as payment due dates, automatic r
P1B-F-110 | Pack B | Sec F | B-F.110 cybersecurity | After detecting a potential data breach, Apex Corp's incident response team follows a structured approach: identifying the scope, containing the breac
P1B-F-112 | Pack B | Sec F | B-F.112 data analytics | Pinnacle Corp wants to understand how changes in advertising spending, price levels, and competitor activity affect its monthly sales revenue. Which s
P1B-F-113 | Pack B | Sec F | B-F.113 RPA | A manager at Horizon Corp is evaluating whether to use RPA or AI for automating the reconciliation of bank statements. The process involves logging in
P1B-F-116 | Pack B | Sec F | B-F.116 ERP systems | Nexus Manufacturing recently implemented an integrated ERP system. The internal auditor notes that the previous manual segregation of duties between p
P1B-F-117 | Pack B | Sec F | B-F.117 data governance | Titan Industries is defining roles for its data governance program. Which role typically has ultimate accountability for data assets within a specific
P1B-F-120 | Pack B | Sec F | B-F.120 AI and machine learning | Quantum Corp is deploying a machine learning model to automate the classification of expenses in the general ledger. Which of the following risks shou
P1B-F-121 | Pack B | Sec F | B-F.121 blockchain | Orion Corp is exploring the use of smart contracts on a blockchain to automate purchase-to-pay processes. A smart contract could automatically release
P1B-F-123 | Pack B | Sec F | B-F.123 data analytics | After noticing a spike in customer returns, Apex Retail's management drills down into the data by product category, region, time period, and customer 
P1B-F-125 | Pack B | Sec F | B-F.125 privacy regulations | A customer of Silverline Corp has submitted a request under GDPR asking for a copy of all personal data the company holds about them. This is known as
P1B-F-126 | Pack B | Sec F | B-F.126 data mining | Cascade Marketing wants to segment its customer database into groups with similar purchasing behaviors and demographic characteristics to target promo
P1B-F-128 | Pack B | Sec F | B-F.128 data visualization | Summit Corp's finance team has created a presentation for the board that combines data visualizations with narrative explanations to communicate the k
P1B-F-129 | Pack B | Sec F | B-F.129 cybersecurity | Redwood Inc's accounting files were encrypted by malware, and the attackers demanded payment in cryptocurrency to restore access. This type of attack 
P1B-F-130 | Pack B | Sec F | B-F.130 master data management | Titan Industries has multiple business units that maintain separate customer databases with inconsistent naming conventions and duplicate records. Imp
P1B-F-131 | Pack B | Sec F | B-F.131 RPA | Apex Corp has deployed dozens of RPA bots to automate various accounting processes. Which of the following governance practices is most important for 
P1B-F-133 | Pack B | Sec F | B-F.133 database management | When designing a database for accounts payable, the database designer splits data into separate tables (Vendors, Invoices, Payments) linked by keys to
P1B-F-135 | Pack B | Sec F | B-F.135 AI and machine learning | Orion Corp is evaluating the use of generative AI to draft management discussion and analysis (MD&A) sections for quarterly reports. Which of the foll
P1B-F-136 | Pack B | Sec F | B-F.136 cloud computing | Under the cloud shared responsibility model, when using SaaS for an accounting system, which of the following is typically the customer's responsibili
P1B-F-139 | Pack B | Sec F | B-F.139 cybersecurity | Vanguard Corp follows the principle of least privilege when assigning system access. This principle means that:
P1B-F-141 | Pack B | Sec F | B-F.141 blockchain | While exploring blockchain for accounting applications, Summit Corp's team identifies several potential limitations. Which of the following is a recog
P1B-F-143 | Pack B | Sec F | B-F.143 data analytics | Pinnacle Corp's CFO wants to understand how changes in sales volume, selling price, and variable costs would affect net income under different scenari
P1B-F-148 | Pack B | Sec F | B-F.148 RPA | Orion Corp has deployed an RPA bot that processes supplier invoice payments. The bot has access to the accounts payable system and initiates wire tran
P1E-A-010 | Pack E | Sec A | E-A.010 Prepaid insurance classification | Prepaid insurance is classified as:
P1E-A-011 | Pack E | Sec A | E-A.011 R&D cost treatment | Under U.S. GAAP, research and development costs are:
P1E-A-020 | Pack E | Sec A | E-A.020 Stock split effect | A 3-for-1 stock split increases shares outstanding by:
P1E-A-029 | Pack E | Sec A | E-A.029 Land depreciation | Under U.S. GAAP, land is:
P1E-A-031 | Pack E | Sec A | E-A.031 LIFO IFRS prohibition | Under U.S. GAAP, which inventory method is not permitted under IFRS?
P1E-A-057 | Pack E | Sec A | E-A.057 Going concern | The going concern assumption underlies:
P1E-A-066 | Pack E | Sec A | E-A.066 Consignment inventory | Consignment inventory appears on the balance sheet of:
P1E-B-012 | Pack E | Sec B | E-B.012 Zero-based budgeting | Zero-based budgeting requires:
P1E-B-019 | Pack E | Sec B | E-B.019 Moving average purpose | The moving average method is used to:
P1E-B-020 | Pack E | Sec B | E-B.020 Exponential smoothing alpha | Exponential smoothing uses which parameter?
P1E-B-030 | Pack E | Sec B | E-B.030 Profit center | A profit center manager controls:
P1E-B-041 | Pack E | Sec B | E-B.041 Relevant range | The relevant range concept assumes:
P1E-B-062 | Pack E | Sec B | E-B.062 Seasonal patterns | Seasonal patterns repeat:
P1E-C-005 | Pack E | Sec C | E-C.005 Labor efficiency responsibility | The labor efficiency variance is the responsibility of:
P1E-C-014 | Pack E | Sec C | E-C.014 ROI formula | Return on investment is calculated as:
P1E-C-019 | Pack E | Sec C | E-C.019 Financial perspective BSC | The financial perspective of BSC asks:
P1E-C-029 | Pack E | Sec C | E-C.029 Appraisal costs | Appraisal costs include:
P1E-C-030 | Pack E | Sec C | E-C.030 Internal failure costs | Internal failure costs include:
P1E-C-035 | Pack E | Sec C | E-C.035 Currently attainable standards | Currently attainable standards are:
P1E-C-045 | Pack E | Sec C | E-C.045 Nonfinancial BSC measures | Nonfinancial measures in BSC include:
P1E-D-029 | Pack E | Sec D | E-D.029 Make-or-buy analysis | Make-or-buy decisions compare:
P1E-D-030 | Pack E | Sec D | E-D.030 Special order decision | A special order should be accepted if:
P1E-E-003 | Pack E | Sec E | E-E.003 Risk assessment COSO | Risk assessment involves:
P1E-E-004 | Pack E | Sec E | E-E.004 Control activities | Control activities include:
P1E-E-007 | Pack E | Sec E | E-E.007 Monitoring COSO | Monitoring includes:
P1E-E-010 | Pack E | Sec E | E-E.010 Inherent risk | Inherent risk is risk:
P1E-E-012 | Pack E | Sec E | E-E.012 Fraud triangle | The fraud triangle consists of:
P1E-E-013 | Pack E | Sec E | E-E.013 Preventive control | Which is a preventive control?
P1E-F-003 | Pack E | Sec F | E-F.003 Prescriptive analytics | Prescriptive analytics recommends:
P1E-F-006 | Pack E | Sec F | E-F.006 Big data velocity | Big data velocity refers to:
P1E-F-008 | Pack E | Sec F | E-F.008 Structured data | Structured data is:
P1E-F-010 | Pack E | Sec F | E-F.010 Data warehouse | A data warehouse stores:
P1E-F-013 | Pack E | Sec F | E-F.013 RPA | Robotic process automation (RPA):
P1E-F-014 | Pack E | Sec F | E-F.014 Blockchain | Blockchain provides:
P1E-F-016 | Pack E | Sec F | E-F.016 Cybersecurity management | Cybersecurity risk management includes:
P1E-F-020 | Pack E | Sec F | E-F.020 CAATs | CAATs stands for:
P1E-F-021 | Pack E | Sec F | E-F.021 Data mining | Data mining identifies:
P1E-F-022 | Pack E | Sec F | E-F.022 Data visualization | Data visualization is used to:
P1E-F-025 | Pack E | Sec F | E-F.025 Data governance | Data governance defines:
P1E-F-026 | Pack E | Sec F | E-F.026 IoT | IoT generates data from:
P1E-F-028 | Pack E | Sec F | E-F.028 IT change management | IT change management ensures:
P1E-F-030 | Pack E | Sec F | E-F.030 Business continuity | Business continuity planning includes:
P1E-F-031 | Pack E | Sec F | E-F.031 AI in accounting | Artificial intelligence in accounting:
P1E-F-032 | Pack E | Sec F | E-F.032 IoT accounting impact | The Internet of Things (IoT) primarily affects:
P1E-F-034 | Pack E | Sec F | E-F.034 RPA accounting use | RPA in accounting is most suitable for:
P1E-B-081 | Pack E | Sec B | E-B.081 Dependent variable regression | In regression analysis, the dependent variable is:
P1E-B-084 | Pack E | Sec B | E-B.084 Cost center evaluation | A cost center manager is evaluated on:
P1E-C-049 | Pack E | Sec C | E-C.049 Benchmarking definition | Benchmarking compares against:
P1E-C-056 | Pack E | Sec C | E-C.056 Performance reports | Performance reports compare:
P1E-C-060 | Pack E | Sec C | E-C.060 BSC strategy translation | The balanced scorecard translates mission and strategy into:
P1E-D-042 | Pack E | Sec D | E-D.042 Lean manufacturing | Lean manufacturing focuses on:
P1E-D-058 | Pack E | Sec D | E-D.058 ABC cost pool | Cost pool in ABC is:
P1E-D-060 | Pack E | Sec D | E-D.060 ABC best use | ABC is most beneficial when:
P1E-E-034 | Pack E | Sec E | E-E.034 COSO principle 10 | COSO principle 10 requires selection and development of:
P1E-E-035 | Pack E | Sec E | E-E.035 COSO principle 11 | COSO principle 11 requires selection of:
P1E-E-041 | Pack E | Sec E | E-E.041 Access controls | Access controls limit:
P1E-E-043 | Pack E | Sec E | E-E.043 Verification controls | Verification controls include:
P1E-E-053 | Pack E | Sec E | E-E.053 IT detective controls | Detective IT controls include:
P1E-E-055 | Pack E | Sec E | E-E.055 COSO objectives | The COSO internal control framework objective categories are:
P1E-E-059 | Pack E | Sec E | E-E.059 Internal control limitations | Limitations of internal control include:
P1E-E-061 | Pack E | Sec E | E-E.061 Entity-level controls | Entity-level controls include:
P1E-F-045 | Pack E | Sec F | E-F.045 Analytics maturity highest | The highest level of data analytics maturity is:
P1E-F-055 | Pack E | Sec F | E-F.055 Database backup | Database backup strategy should consider:
P1E-F-057 | Pack E | Sec F | E-F.057 Ransomware | Ransomware is a type of:
P1E-F-059 | Pack E | Sec F | E-F.059 Social engineering | Social engineering attacks exploit:
P1E-F-063 | Pack E | Sec F | E-F.063 Hot site | Hot site is a:
P1E-F-071 | Pack E | Sec F | E-F.071 SaaS | Software as a Service (SaaS) provides:
P1E-F-073 | Pack E | Sec F | E-F.073 PaaS | Platform as a Service (PaaS) provides:
P1E-F-074 | Pack E | Sec F | E-F.074 Analytics management support | Top management support is critical for:
P1E-C-065 | Pack E | Sec C | E-C.065 BSC goal alignment | Scorecards based on BSC perspectives help align:
P1E-C-082 | Pack E | Sec C | E-C.082 Employee turnover BSC | Employee turnover rate is a:
P1E-D-061 | Pack E | Sec D | E-D.061 Cost allocation base criteria | Cost allocation base should be:
P1E-D-062 | Pack E | Sec D | E-D.062 Cost driver definition | A cost driver is:
P1E-D-065 | Pack E | Sec D | E-D.065 Pull system JIT | In JIT, the pull system means:
P1E-D-068 | Pack E | Sec D | E-D.068 Product lifecycle stages | Product lifecycle stages include:
P1E-D-074 | Pack E | Sec D | E-D.074 Conversion costs | Conversion costs are:
P1E-E-067 | Pack E | Sec E | E-E.067 COSO principle 3 | COSO principle 3 establishes:
P1E-E-068 | Pack E | Sec E | E-E.068 COSO principle 4 | COSO principle 4 demonstrates commitment to:
P1E-E-073 | Pack E | Sec E | E-E.073 Pre-numbered documents | Pre-numbered documents are a:
P1E-C-090 | Pack E | Sec C | E-C.090 Profit center evaluation | Profit center evaluation is typically based on:
P1E-C-093 | Pack E | Sec C | E-C.093 Performance report qualities | Performance reports should be:
P1E-C-095 | Pack E | Sec C | E-C.095 Standard cost card | Standard cost card includes standard:
P1E-C-096 | Pack E | Sec C | E-C.096 Ideal standards term | Ideal standards are also called:
P1E-C-097 | Pack E | Sec C | E-C.097 Practical standards | Practical standards allow for:
P1E-C-100 | Pack E | Sec C | E-C.100 Budgeting behavioral aspects | The behavioral aspect of budgeting includes:
P1-E-R02 | Pack E | Sec E | E-R02 COSO framework — three categories of objecti | Under the COSO Internal Control — Integrated Framework (2013), internal control is designed to provide reasonable assurance regarding the achievement 
P1-E-R34 | Pack E | Sec E | E-R34 internal control definition — COSO framework | According to the COSO Internal Control—Integrated Framework, the three categories of objectives that internal control is designed to provide reasonabl
P1-E-R35 | Pack E | Sec E | E-R35 inherent limitations — reasonable assurance  | Internal control, no matter how well designed and operated, can provide only reasonable assurance — not absolute assurance — regarding achievement of 
P1-E-R29 | Pack E | Sec E | E-R29 physical controls — custody and access restr | Which of the following combinations of safeguarding controls provides the strongest protection against misappropriation of physical inventory?
P1-E-R18 | Pack E | Sec E | E-R18 monitoring activities — ongoing vs separate  | Under COSO Principle 16, management evaluates whether the components of internal control are present and functioning. These evaluations take two disti
