QuestionID,Section,Topic,Difficulty,Grade,AvgScore,Blueprint,Technical,Quality,Distractor,Explanation,Realism,DifficultyScore,Repetition,Priority,Issues
P1-A-031,A,"A.031 retained earnings rollforward 6",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-032,A,"A.032 current assets classification total 7",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-033,A,"A.033 net sales after returns and allowances 8",Moderate,A,4.6,5,5,4,5,5,3,5,5,Low,"Uses absolute language: ""all""; No business context in stem (may lack realism); No time/year reference in stem"
P1-A-034,A,"A.034 loss contingency range disclosure 9",Easy,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-035,A,"A.035 basic EPS weighted-average shares 10",Moderate,A,4.6,5,5,4,5,5,3,5,5,Low,"Uses absolute language: ""all""; No business context in stem (may lack realism)"
P1-A-036,A,"A.036 accounting equation equity calculation 11",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-037,A,"A.037 revenue recognized on shipped units 12",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-038,A,"A.038 cost of goods sold from inventory flow 13",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-039,A,"A.039 straight-line depreciation expense 14",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-040,A,"A.040 indirect operating cash flow adjustment 15",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-041,A,"A.041 retained earnings rollforward 16",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-042,A,"A.042 current assets classification total 17",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-043,A,"A.043 net sales after returns and allowances 18",Moderate,A,4.6,5,5,4,5,5,3,5,5,Low,"Uses absolute language: ""all""; No business context in stem (may lack realism); No time/year reference in stem"
P1-A-044,A,"A.044 loss contingency range disclosure 19",Easy,B,4.4,5,5,5,5,2,3,5,5,Medium,"Generic distractor explanation (no specific rationale); No business context in stem (may lack realism); No time/year reference in stem"
P1-A-045,A,"A.045 basic EPS weighted-average shares 20",Moderate,A,4.6,5,5,4,5,5,3,5,5,Low,"Uses absolute language: ""all""; No business context in stem (may lack realism)"
P1-A-046,A,"A.046 accounting equation equity calculation 21",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-047,A,"A.047 revenue recognized on shipped units 22",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-048,A,"A.048 cost of goods sold from inventory flow 23",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-049,A,"A.049 straight-line depreciation expense 24",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-050,A,"A.050 indirect operating cash flow adjustment 25",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-051,A,"A.051 retained earnings rollforward 26",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-052,A,"A.052 current assets classification total 27",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-053,A,"A.053 net sales after returns and allowances 28",Moderate,A,4.6,5,5,4,5,5,3,5,5,Low,"Uses absolute language: ""all""; No business context in stem (may lack realism); No time/year reference in stem"
P1-A-054,A,"A.054 loss contingency range disclosure 29",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-055,A,"A.055 basic EPS weighted-average shares 30",Moderate,A,4.6,5,5,4,5,5,3,5,5,Low,"Uses absolute language: ""all""; No business context in stem (may lack realism)"
P1-A-056,A,"A.056 accounting equation equity calculation 31",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-057,A,"A.057 revenue recognized on shipped units 32",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-058,A,"A.058 cost of goods sold from inventory flow 33",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-059,A,"A.059 straight-line depreciation expense 34",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-060,A,"A.060 indirect operating cash flow adjustment 35",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-061,A,"A.061 retained earnings rollforward 36",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-062,A,"A.062 current assets classification total 37",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-063,A,"A.063 net sales after returns and allowances 38",Moderate,A,4.6,5,5,4,5,5,3,5,5,Low,"Uses absolute language: ""all""; No business context in stem (may lack realism); No time/year reference in stem"
P1-A-064,A,"A.064 loss contingency range disclosure 39",Moderate,B,4.4,5,5,5,5,2,3,5,5,Medium,"Generic distractor explanation (no specific rationale); No business context in stem (may lack realism); No time/year reference in stem"
P1-A-065,A,"A.065 basic EPS weighted-average shares 40",Moderate,A,4.6,5,5,4,5,5,3,5,5,Low,"Uses absolute language: ""all""; No business context in stem (may lack realism)"
P1-A-066,A,"A.066 accounting equation equity calculation 41",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-067,A,"A.067 revenue recognized on shipped units 42",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-068,A,"A.068 cost of goods sold from inventory flow 43",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-069,A,"A.069 straight-line depreciation expense 44",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-070,A,"A.070 indirect operating cash flow adjustment 45",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-071,A,"A.071 retained earnings rollforward 46",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-072,A,"A.072 current assets classification total 47",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-073,A,"A.073 net sales after returns and allowances 48",Moderate,A,4.6,5,5,4,5,5,3,5,5,Low,"Uses absolute language: ""all""; No business context in stem (may lack realism); No time/year reference in stem"
P1-A-074,A,"A.074 loss contingency range disclosure 49",Easy,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-075,A,"A.075 basic EPS weighted-average shares 50",Moderate,A,4.6,5,5,4,5,5,3,5,5,Low,"Uses absolute language: ""all""; No business context in stem (may lack realism)"
P1-B-001,B,"B.001 mission to tactical planning linkage",Moderate,A,4.6,5,5,5,5,2,5,5,5,Low,"Generic distractor explanation (no specific rationale)"
P1-B-002,B,"B.002 top-down budgeting limitation",Easy,A,4.5,5,5,5,5,2,4,5,5,Low,"ExplanationWrongA is generic: ""This is the correct choice""; Generic distractor explanation (no specific rationale); All 3 wrong-answer explanations are identical text; No time/year reference in stem"
P1-B-003,B,"B.003 participative budgeting slack risk",Easy,A,4.9,5,5,5,5,5,4,5,5,Low,"No time/year reference in stem"
P1-B-004,B,"B.004 rolling budget horizon",Moderate,B,4.4,5,5,5,5,2,3,5,5,Medium,"Generic distractor explanation (no specific rationale); No business context in stem (may lack realism)"
P1-B-005,B,"B.005 zero-based budgeting review",Easy,A,4.5,5,5,5,5,2,4,5,5,Low,"Generic distractor explanation (no specific rationale); No time/year reference in stem"
P1-B-006,B,"B.006 activity-based budgeting drivers",Moderate,B,4.4,5,5,5,5,2,3,5,5,Medium,"ExplanationWrongA is generic: ""This is the correct choice""; Generic distractor explanation (no specific rationale); All 3 wrong-answer explanations are identical text; No business context in stem (may lack realism); No time/year reference in stem"
P1-B-007,B,"B.007 flexible budget purpose",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-008,B,"B.008 sales budget sequencing",Easy,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-009,B,"B.009 cash budget minimum balance",Moderate,B,4.3,5,5,4,5,2,3,5,5,Medium,"Uses absolute language: ""all""; Generic distractor explanation (no specific rationale); No business context in stem (may lack realism); No time/year reference in stem"
P1-B-010,B,"B.010 forecasting causal model",Moderate,B,4.3,5,5,5,4,2,3,5,5,Medium,"Answer length variance high (ratio 3x) — may give clues; ExplanationWrongA is generic: ""This is the correct choice""; Generic distractor explanation (no specific rationale); All 3 wrong-answer explanations are identical text; No business context in stem (may lack realism)"
P1-B-011,B,"B.011 time-series trend",Easy,A,4.6,5,5,5,4,5,3,5,5,Low,"Answer length variance high (ratio 3x) — may give clues; No business context in stem (may lack realism)"
P1-B-012,B,"B.012 expected value decision planning",Moderate,B,4.4,5,5,5,5,2,3,5,5,Medium,"Generic distractor explanation (no specific rationale); No business context in stem (may lack realism); No time/year reference in stem"
P1-B-013,B,"B.013 learning curve budgeting",Moderate,B,4.3,5,5,4,5,2,3,5,5,Medium,"Uses absolute language: ""all""; Generic distractor explanation (no specific rationale); No business context in stem (may lack realism); No time/year reference in stem"
P1-B-014,B,"B.014 sensitivity analysis budget",Moderate,B,4.4,5,5,5,5,2,3,5,5,Medium,"ExplanationWrongA is generic: ""This is the correct choice""; Generic distractor explanation (no specific rationale); All 3 wrong-answer explanations are identical text; No business context in stem (may lack realism); No time/year reference in stem"
P1-B-015,B,"B.015 pro forma financial statements",Easy,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-016,B,"B.016 project budgeting distinction",Easy,B,4.3,5,5,4,5,2,3,5,5,Medium,"Uses absolute language: ""all""; Generic distractor explanation (no specific rationale); No business context in stem (may lack realism); No time/year reference in stem"
P1-B-017,B,"B.017 production budget units 1",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-018,B,"B.018 direct materials purchases budget 2",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-019,B,"B.019 cash collections schedule 3",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-020,B,"B.020 flexible budget cost 4",Difficult,A,4.9,5,5,5,5,5,4,5,5,Low,"No time/year reference in stem"
P1-B-021,B,"B.021 expected value budget scenario 5",Difficult,A,4.6,5,5,3,5,5,4,5,5,Low,"Stem very long (>300 chars) — may be unnecessarily complex; No time/year reference in stem"
P1-B-022,B,"B.022 regression forecast cost equation 6",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-023,B,"B.023 learning curve average time after doubling 7",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-024,B,"B.024 cash budget borrowing need 8",Moderate,A,4.6,5,5,5,4,5,3,5,5,Low,"Answer length variance high (ratio 4x) — may give clues; No business context in stem (may lack realism)"
P1-B-025,B,"B.025 budgetary slack incentive design 9",Easy,A,4.5,5,5,5,5,2,4,5,5,Low,"Generic distractor explanation (no specific rationale); No time/year reference in stem"
P1-B-026,B,"B.026 forecast error analysis 10",Moderate,B,4.4,5,5,5,5,2,3,5,5,Medium,"ExplanationWrongA is generic: ""This is the correct choice""; Generic distractor explanation (no specific rationale); All 3 wrong-answer explanations are identical text; No business context in stem (may lack realism)"
P1-B-027,B,"B.027 budget committee coordination 11",Easy,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-028,B,"B.028 continuous planning update trigger 12",Moderate,B,4.4,5,5,5,5,2,3,5,5,Medium,"Generic distractor explanation (no specific rationale); No business context in stem (may lack realism); No time/year reference in stem"
P1-B-029,B,"B.029 production budget units 13",Moderate,A,4.8,5,5,3,5,5,5,5,5,Low,"Stem very long (>300 chars) — may be unnecessarily complex; Uses absolute language: ""all"""
P1-B-030,B,"B.030 direct materials purchases budget 14",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-031,B,"B.031 cash collections schedule 15",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-032,B,"B.032 flexible budget cost 16",Difficult,A,4.9,5,5,5,5,5,4,5,5,Low,"No time/year reference in stem"
P1-B-033,B,"B.033 expected value budget scenario 17",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-034,B,"B.034 regression forecast cost equation 18",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-035,B,"B.035 learning curve incremental unit time",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-036,B,"B.036 cash budget borrowing need 20",Moderate,A,4.6,5,5,5,4,5,3,5,5,Low,"Answer length variance high (ratio 4x) — may give clues; No business context in stem (may lack realism)"
P1-B-037,B,"B.037 flexible budget variance interpretation",Moderate,B,4.4,5,5,5,5,2,3,5,5,Medium,"ExplanationWrongA is generic: ""This is the correct choice""; Generic distractor explanation (no specific rationale); All 3 wrong-answer explanations are identical text; No business context in stem (may lack realism); No time/year reference in stem"
P1-B-038,B,"B.038 moving average forecast calculation",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-039,B,"B.039 cash collections schedule",Moderate,A,5,5,5,5,5,5,5,5,5,Low,""
P1-B-040,B,"B.040 standard costing variance investigation threshold",Moderate,A,4.8,5,5,4,5,5,4,5,5,Low,"Uses absolute language: ""all""; No time/year reference in stem"
P1-B-041,B,"B.041 production budget units 25",Moderate,A,4.8,5,5,3,5,5,5,5,5,Low,"Stem very long (>300 chars) — may be unnecessarily complex"
P1-B-042,B,"B.042 direct materials purchases budget 26",Moderate,A,4.6,5,5,3,5,5,4,5,5,Low,"Stem very long (>300 chars) — may be unnecessarily complex; No time/year reference in stem"
P1-B-043,B,"B.043 cash collections schedule 27",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-044,B,"B.044 flexible budget cost 28",Difficult,A,4.9,5,5,5,5,5,4,5,5,Low,"No time/year reference in stem"
P1-B-045,B,"B.045 expected value budget scenario 29",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-046,B,"B.046 regression forecast cost equation 30",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-047,B,"B.047 rolling forecast update frequency",Easy,A,4.6,5,5,4,5,5,3,5,5,Low,"Uses absolute language: ""every""; No business context in stem (may lack realism)"
P1-B-048,B,"B.048 cash budget borrowing need 32",Moderate,A,4.6,5,5,5,4,5,3,5,5,Low,"Answer length variance high (ratio 4x) — may give clues; No business context in stem (may lack realism)"
P1-B-049,B,"B.049 sales budget seasonality adjustment",Easy,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-050,B,"B.050 exponential smoothing weighting concept",Difficult,B,4.4,5,5,5,5,2,3,5,5,Medium,"ExplanationWrongA is generic: ""This is the correct choice""; Generic distractor explanation (no specific rationale); All 3 wrong-answer explanations are identical text; No business context in stem (may lack realism); No time/year reference in stem"
P1-B-051,B,"B.051 selling and administrative expense budget components",Easy,B,4.3,5,5,4,5,2,3,5,5,Medium,"Uses absolute language: ""all""; Generic distractor explanation (no specific rationale); No business context in stem (may lack realism); No time/year reference in stem; Abstract/theoretical wording without business scenario"
P1-B-052,B,"B.052 budget slack ethical considerations",Easy,A,4.9,5,5,5,5,5,4,5,5,Low,"No time/year reference in stem"
P1-B-053,B,"B.053 production budget units 37",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-054,B,"B.054 direct materials purchases budget 38",Moderate,A,4.8,5,5,3,5,5,5,5,5,Low,"Stem very long (>300 chars) — may be unnecessarily complex"
P1-B-055,B,"B.055 cash collections schedule 39",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-056,B,"B.056 flexible budget cost 40",Difficult,A,4.9,5,5,5,5,5,4,5,5,Low,"No time/year reference in stem"
P1-B-057,B,"B.057 expected value budget scenario 41",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-058,B,"B.058 regression forecast cost equation 42",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-059,B,"B.059 regression forecast calculation",Moderate,A,4.6,5,5,4,5,5,3,5,5,Low,"Uses absolute language: ""all""; No business context in stem (may lack realism)"
P1-B-060,B,"B.060 cash budget borrowing need 44",Moderate,A,4.6,5,5,5,4,5,3,5,5,Low,"Answer length variance high (ratio 4x) — may give clues; No business context in stem (may lack realism)"
P1-B-061,B,"B.061 production budget with target ending inventory",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-062,B,"B.062 learning curve vs experience curve distinction",Moderate,A,4.9,5,5,5,5,5,4,5,5,Low,"No time/year reference in stem"
P1-B-063,B,"B.063 budgeted income statement sequencing",Moderate,A,4.6,5,5,4,5,5,3,5,5,Low,"Uses absolute language: ""all""; No business context in stem (may lack realism); No time/year reference in stem"
P1-B-064,B,"B.064 capacity planning and budgeted volume",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-065,B,"B.065 production budget units 49",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-066,B,"B.066 direct materials purchases budget 50",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-067,B,"B.067 cash collections schedule 51",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-068,B,"B.068 flexible budget cost 52",Difficult,A,4.9,5,5,5,5,5,4,5,5,Low,"No time/year reference in stem"
P1-B-069,B,"B.069 expected value budget scenario 53",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-070,B,"B.070 regression forecast cost equation 54",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-071,B,"B.071 zero-based budgeting rationale",Easy,A,4.5,5,5,4,5,2,5,5,5,Low,"Uses absolute language: ""every""; Generic distractor explanation (no specific rationale)"
P1-B-072,B,"B.072 cash budget borrowing need 56",Moderate,A,4.6,5,5,5,4,5,3,5,5,Low,"Answer length variance high (ratio 4x) — may give clues; No business context in stem (may lack realism)"
P1-B-073,B,"B.073 budget manual purpose",Easy,A,4.8,5,5,4,5,5,4,5,5,Low,"Uses absolute language: ""all""; No time/year reference in stem"
P1-B-074,B,"B.074 production budget units",Moderate,A,5,5,5,5,5,5,5,5,5,Low,""
P1-B-075,B,"B.075 participative budgeting drawback",Difficult,A,4.8,5,5,4,5,5,4,5,5,Low,"Uses absolute language: ""all""; No time/year reference in stem"
P1-B-076,B,"B.076 contingency planning for supply disruption",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-077,B,"B.077 production budget units 61",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-078,B,"B.078 direct materials purchases budget 62",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-079,B,"B.079 cash collections schedule 63",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-080,B,"B.080 flexible budget cost 64",Difficult,A,4.9,5,5,5,5,5,4,5,5,Low,"No time/year reference in stem"
P1-B-081,B,"B.081 expected value budget scenario 65",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-082,B,"B.082 regression forecast cost equation 66",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-083,B,"B.083 learning curve cost estimate application",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-084,B,"B.084 cash budget borrowing need 68",Moderate,A,4.6,5,5,5,4,5,3,5,5,Low,"Answer length variance high (ratio 4x) — may give clues; No business context in stem (may lack realism)"
P1-B-085,B,"B.085 direct materials purchases budget",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-B-086,B,"B.086 forecast bias detection",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-B-087,B,"B.087 budget committee composition role",Easy,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
